SKU,Name1,Name2
ST20231115_130038_I AM SO MUCH BETTER THAN BEFORE,I AM SO MUCH,BETTER THAN BEFORE
ST20231115_130041_TODAY IS BEAUTIFUL AND IT IS YOURS,TODAY IS BEAUTIFUL,AND IT IS YOURS.
ST20231115_130042_REAL MEN DONT NEED INSTRUCTIONS,REAL MEN DON'T,NEED INSTRUCTIONS!
ST20231115_130043_WE ARE ALL STORIES IN THE END,WE ARE ALL,STORIES IN THE END
ST20231115_130056_BETTER IDEAS WIN NOT LOUDER PEOPLE,"BETTER IDEAS WIN,",NOT LOUDER PEOPLE
ST20231115_130059_I HOPE YOU HAVE THE DAY YOU DESERVE,I HOPE YOU HAVE THE,DAY YOU DESERVE!
ST20231115_130101_HAVE FUN STORMING THE CASTLE,HAVE FUN,STORMING THE CASTLE!
ST20231115_130104_I DONT CARE WHAT YOU THINK OF ME,I DON'T CARE WHAT,YOU THINK OF ME
ST20231115_130106_NEVER LET THE FEAR OF STRIKING OUT,NEVER LET THE FEAR,OF STRIKING OUT
ST20231115_130107_LOVE IS BLIND AND LOVERS CANNOT SEE,LOVE IS BLIND AND,LOVERS CANNOT SEE
ST20231115_130109_THIS PAIN WOULDNT BE FOR EVERMORE,THIS PAIN WOULDN'T,BE FOR EVERMORE
ST20231115_130110_BLESS YOU FOR COMING OUT IN PUBLIC,BLESS YOU FOR,COMING OUT IN PUBLIC
